,name,category,latitude,longitude,rating,reviews,photo,street_view
0,Lovina Beach,Beach,-8.161141,115.02435659999999,4.4,766.0,https://lh5.googleusercontent.com/p/AF1QipOjQxva6Q7v612r8cPwupvpHid-mmSEQLx9q8uC=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipP_7bpEl6nV4QkdgIdeLTTyefWYpx1ltqa8MYXu=w1600-h1000-k-no
1,Biaung Beach,Beach,-8.6526837,115.2704193,4.2,515.0,https://lh5.googleusercontent.com/p/AF1QipN0uWOU6CS6znkgKNmXseSsIYwevA0yv9y7WiVn=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipN0uWOU6CS6znkgKNmXseSsIYwevA0yv9y7WiVn=w1600-h1000-k-no
2,Pantai Segara Ayu,Beach,-8.6824631,115.2643001,4.5,1727.0,https://lh5.googleusercontent.com/p/AF1QipPP-MV7qIEUvPqOoUqOgc2j8gI_MvxuHKSVUAAA=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPP-MV7qIEUvPqOoUqOgc2j8gI_MvxuHKSVUAAA=w1600-h1000-k-no
3,Sanur,Beach,-8.7071782,115.2626236,4.5,4395.0,https://lh5.googleusercontent.com/p/AF1QipM5xr9iag9T2d-Q5kQqjYltNL5QW8TOVlVi4Q7v=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM5xr9iag9T2d-Q5kQqjYltNL5QW8TOVlVi4Q7v=w1600-h1000-k-no
4,Werdhapura Beach,Beach,-8.6913754,115.26653999999999,4.3,173.0,https://lh5.googleusercontent.com/p/AF1QipO-hmRSJd2fLFboLnOKgHUAtNLZU8WJN6fuqVcU=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO-hmRSJd2fLFboLnOKgHUAtNLZU8WJN6fuqVcU=w1600-h1000-k-no
5,Sindhu,Beach,-8.684166699999999,115.26444440000002,4.6,745.0,https://lh5.googleusercontent.com/p/AF1QipOZkgrLMfFrQGKba6GVZg7N29WMhT4Ih24hQpPe=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOZkgrLMfFrQGKba6GVZg7N29WMhT4Ih24hQpPe=w1600-h1000-k-no
6,Warung Citra seagara beach (Sanur),Beach,-8.682652599999999,115.2640596,4.3,285.0,https://lh5.googleusercontent.com/p/AF1QipPU8qEACQF9TTnzbU3B_q2iqqBMNBa6Etuhmvae=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPU8qEACQF9TTnzbU3B_q2iqqBMNBa6Etuhmvae=w1600-h1000-k-no
7,Padang Galak Beach,Tourist attraction,-8.658190600000001,115.26538000000001,4.3,3.0,https://lh5.googleusercontent.com/p/AF1QipO0Wtloz6Q9YfjQs7CVj2ZOclmEOduCeE1iOHc=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO0Wtloz6Q9YfjQs7CVj2ZOclmEOduCeE1iOHc=w1600-h1000-k-no
8,Pantai Padang Galak,Public beach,-8.6611382,115.26330060000001,4.6,133.0,https://lh5.googleusercontent.com/p/AF1QipMhMrLX6VlsEzPNRfw2GH0v7XQ9CKSnQ1ncld2A=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMhMrLX6VlsEzPNRfw2GH0v7XQ9CKSnQ1ncld2A=w1600-h1000-k-no
9,Jalasena Beach Park,Park,-8.6827577,115.20397659999998,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wjzzq1iMkG5sXavMSN7oYg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=277.16534&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wjzzq1iMkG5sXavMSN7oYg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=277.16534&pitch=0&thumbfov=100
